帰ってきましたー！　ただいまー！	やぁやぁお帰りー。今日はいつもより早かったね？
ちょっとダンジョンで死にかけちゃって……	おいおい、大丈夫かい？　君に死なれたらボクはかなりショックだよ。柄にもなく悲しんでしまうかもしれない
大丈夫です。神様を路頭に迷わせることはしませんから	あっ、言ったなー？　なら大船に乗ったつもりでいるから、覚悟しておいてくれよ？
いつもよりは少ないですね。神様の方は？	ふっふーんっ、これを見るんだ！　デデン！
そ、それは！？	露店の売り上げに貢献したということで、大量のジャガ丸くんを頂戴したんだ！　夕飯はパーティーだ！　ふふっ、今夜は君を寝かせないぜ？
な、何で僕、こんないきなり成長したのかなー、なんて……	……知るもんかっ
何よ、言っとくけどお金はもう1円も貸さないからね	し、失敬な！
たった今、普通にタダ飯を食いあさっていたじゃない	うっ……いや、これは、どうせ残るんだし……粗末に捨てるくらいならボクが有効利用してあげようかなー、なんて
へぇ、前まで『【ファミリア】に入ってくれなくて子供達は目がなーい』、なんて言ってたくせに……貴方の【ファミリア】に入った子のおかげ？	ふふん、まぁね。ボクにはもったいないくらい、すごく良い子だよ
……ヘスティア、教えてちょうだい。どうしてあんたがそうまでするのか	……あの子の、力になりたいんだ！
……これからやる作業、あんたも手伝いなさい。今からしっかり働いてもらうから	ああ、任せてくれよ！
か、神様？　すごいご機嫌みたいですけど、本当に何があったんですか？	へへっ……知りたいかい？　ボクが舞い上がっている理由を
……で、デート！？	ああ、そうさ。こんなに街は盛り上がっているんだ。ボク達も楽しまない手はないだろ？
いや、でもっ、デートって……！？	ふふっ、さぁ行くぞ！
ま、待ってっ、待ってください神様！？　僕、実はお使いを頼まれているんです！	ん、そうなのかい？
わたくし、迷宮探索アドバイザーを務めさせてもらっている者です。初めまして、神ヘスティア	ああ、そういうことか。いつも世話になってるね
どうしてっ、神様が狙われてるんですか！？	し、知るもんか！？　あんなモンスター初対面も初対面だ！　ボクは何もしちゃいない！
神様、そこ曲がります！	う、うんっ……！
神様は、このまま先へ進んでください	ボクは、って……君はどうするつもりだよ！？
お願いします、神様。これっきりでいいです。僕の言う事を聞いてください	駄目だッ！　許さないぞ、そんなことは絶対に許さない！　ここを開けるんだ！
……か、神様っ、神様無事ですか！？	ぁ、ああ、大丈夫だよ……！
……でも、このままじゃあ二人とも……！	諦めるにはまだ早いぜ
これならっ……！	さぁ、行くんだ！
か、神様、これってっ……	ごめんね、心配かけて。……でも、ボク、見ているだけは嫌だったんだ。養われるだけじゃあ……助けられてばかりじゃあ、嫌なんだよ
そんな、でも、だってっ……ヘファイストスの武器はすごく高価でっ……お、お金はっ……？	大丈夫、ちゃんと話はつけてきたから
神様！？　どうしてここに！？	おいおい、馬鹿言うなよ、君に会いたかったからに決まってるじゃないか！
何でこんなところにいるんですか！？　バイトのかけ持ち！？　到達階層が増えてお金にちょっと余裕ができるようになったって、僕言ったばっかりじゃないですか！？	いいかい、今あったことは全て忘れて、目と耳を塞いで大人しく帰るんだっ……！　ここは君が来るにはまだ早い！
神様だって早過ぎですよ！？　今まで時給30円だったくせに！？	ジャガ丸くんを馬鹿にするなぁー！
いいから、ほら、帰りましょう！？　神様は神様なんですから恥も外聞も捨てちゃダメです！　これ以上笑い種になったらどうするんですか！？	ええい、離せ、離すんだ！　神にはやらなくちゃいけない時があるんだ！
こらぁっ！　新入りぃ、遊んでんじゃねー！　とっと次の仕事しろぉおっ！！	はぁーい！！
神様、じゃあ行ってきますねー！	う～ん、いってらっしゃぁ～い……
これこれ。その発言はいくら主神といえど横暴というものだ。ベルは誰のものでもない	わかってるさ、そのくらい！　ただ言ってみただけさ！　いや言ってみたかっただけさ！！
もう酔っているのか？	おうともさ！
だ、大丈夫ですか、神様？	す、すまない、こんな見苦しいところを……
いえ、そんな。……えっと、昨日聞きましたけれど、やっぱり？	……ああ、どうやら飲み過ぎたみたいだ
神様、これ、食べられますか？	……ちょ、ちょっと辛いなぁ。食べさせてくれないかい？
か、神様、体調は……	治った！
神様が元気になったら、今度にでも……	今日行こうッ！！
うーん……相変わらず、大きな胸ねぇ	君にだって立派なものがあるだろうー
……まさか、お相手は殿方なの？	だったら何だって言うのさ？
騙されたりはしてないか？　まさか変な男に引っかかってるんじゃないだろうな～	馬鹿にしないでくれ。ボクだって神だ、人を見る目はあるよ
じゃあ、その子供のどんなところに惚れ込んじゃったの？	……人となり、かなぁ
黒いですよ神様！？	下界は綺麗事じゃまかり通らないことが沢山あるんだ。ボクはそれをこの目で見てきた。住む場所を追い出されたり、ジャガ丸くんを買えないほどひもじい思いをしたり、廃墟の地下室に閉じ込められたり……とんでもない額の負債を背負わされたり。世界は理不尽で満ち溢れているんだ
と、とにかくっ、この本を貸してくれちゃった人に、僕、事情を話してきます！	止せっ、君は潔癖すぎるっ！　世界は神より気まぐれなんだぞ！
ちょっとダンジョンで死にかけちゃって……	それじゃあ、今日の君の稼ぎはあまり見込めないのかな？
神様、今日の勧誘はどうでしたか？	いやぁ、それにしても……マスコットキャラとして道行く人はみんな可愛がってくれるけど、ボクの【ファミリア】に加わりたいという子は相も変わらず皆無だよ。全く、ボクの名のヘスティアが無名だからって、みんな現金だよねえ
大丈夫ですよ神様！	君ってやつは……！
まだ始まったばかり、言っちゃえば発展途上ってやつです！　最初の内はそりゃ苦しいかもしれないですけれど、ここを乗り切ればずっと生活は楽になる筈ですっ	ふふっ、君みたいな子に出会えてボクは幸せ者だよ。
